rate_date,from_currency,to_currency,rate,is_filled,source_rate_date,is_corrected,original_rate
2023-01-01,EUR,NGN,508.9167,True,2023-01-02,False,508.9167
2023-01-02,EUR,NGN,508.9167,False,2023-01-02,False,508.9167
2023-01-03,EUR,NGN,505.8,False,2023-01-03,False,505.8
2023-01-04,EUR,NGN,502.2919,False,2023-01-04,False,502.2919
2023-01-05,EUR,NGN,504.27,False,2023-01-05,False,504.27
2023-01-06,EUR,NGN,507.3,False,2023-01-06,False,507.3
2023-01-07,EUR,NGN,507.3,True,2023-01-06,False,507.3
2023-01-08,EUR,NGN,507.3,True,2023-01-06,False,507.3
2023-01-09,EUR,NGN,503.53,False,2023-01-09,False,503.53
2023-01-10,EUR,NGN,500.9,False,2023-01-10,False,500.9
2023-01-11,EUR,NGN,500.9,True,2023-01-10,False,500.9
2023-01-12,EUR,NGN,505.3437,False,2023-01-12,False,505.3437
2023-01-13,EUR,NGN,507.63,False,2023-01-13,False,507.63
2023-01-14,EUR,NGN,507.63,True,2023-01-13,False,507.63
2023-01-15,EUR,NGN,507.63,True,2023-01-13,False,507.63
2023-01-16,EUR,NGN,515.4522,False,2023-01-16,False,515.4522
2023-01-17,EUR,NGN,515.1055,False,2023-01-17,False,515.1055
2023-01-18,EUR,NGN,518.0214,False,2023-01-18,False,518.0214
2023-01-19,EUR,NGN,517.8654,False,2023-01-19,False,517.8654
2023-01-20,EUR,NGN,517.89,False,2023-01-20,False,517.89
2023-01-21,EUR,NGN,517.89,True,2023-01-20,False,517.89
2023-01-22,EUR,NGN,517.89,True,2023-01-20,False,517.89
2023-01-23,EUR,NGN,516.3721,False,2023-01-23,False,516.3721
2023-01-24,EUR,NGN,517.79,False,2023-01-24,False,517.79
2023-01-25,EUR,NGN,521.5866,False,2023-01-25,False,521.5866
2023-01-26,EUR,NGN,522.806,False,2023-01-26,False,522.806
2023-01-27,EUR,NGN,524.522,False,2023-01-27,False,524.522
2023-01-28,EUR,NGN,524.522,True,2023-01-27,False,524.522
2023-01-29,EUR,NGN,524.522,True,2023-01-27,False,524.522
2023-01-30,EUR,NGN,531.98,False,2023-01-30,False,531.98
2023-01-31,EUR,NGN,534.19,False,2023-01-31,False,534.19
2023-02-01,EUR,NGN,534.19,True,2023-01-31,False,534.19
2023-02-02,EUR,NGN,540.3105,False,2023-02-02,False,540.3105
2023-02-03,EUR,NGN,538.61,False,2023-02-03,False,538.61
2023-02-04,EUR,NGN,538.61,True,2023-02-03,False,538.61
2023-02-05,EUR,NGN,538.61,True,2023-02-03,False,538.61
2023-02-06,EUR,NGN,538.09,False,2023-02-06,False,538.09
2023-02-07,EUR,NGN,533.1252,False,2023-02-07,False,533.1252
2023-02-08,EUR,NGN,528.7473,False,2023-02-08,False,528.7473
